www.turkcetopluluklari.org|TÜRKÇE'yi sevenler 
START ALMAK |BAÞLAMAK 
CENTER|MERKEZ 
RELAX OLMAK|RAHATLAMAK
E-MAIL|E-POSTA
KOMÜNÝKASYON>|ÝLETÝÞÝM
CV  |ÖZGEÇMÝÞ
OKEY |TAMAM
TREND|EÐÝLÝM
SPONTANE |KENDÝLÝÐÝNDEN
LÝNK |BAÐLANTI
EXIT|ÇIKIÞ
CHECK ETMEK|KONTROL ETMEK
FEEDBACK|GERÝBÝLDÝRÝM
FULL-TIME|TAM GÜN
KOORDÝNASYON|EÞGÜDÜM
ABSÜRT|SAÇMA
ADAPTE OLMAK|UYUM SAÐLAMAK
LAPTOP|DÝZÜSTÜ BÝLGÝSAYAR
PROVOKE ETMEK|KIÞKIRTMAK
JENERASYON|NESÝL, KUÞAK
OBJEKTÝF|NESNEL, TARAFSIZ
DEKLARE ETMEK|BÝLDÝRMEK
STAR|YILDIZ
PERSPEKTÝF|BAKIÞ AÇISI
ENTEGRE OLMAK|BÜTÜNLEÞMEK
NICK NAME|TAKMA AD
PARTNER |EÞ
OKEYLEMEK|ONAYLAMAK
ANTÝPATÝK|SEVÝMSÝZ, ÝTÝCÝ
MANTALÝTE|ANLAYIÞ, ZÝHNÝYET
ÝLLEGAL|YASADIÞI
TIMING|ZAMANLAMA
CATERING|YEMEK HÝZMETÝ
DEPARTMAN|BÖLÜM
REVÝZE ETMEK|YENÝLEMEK
GLOBAL|KÜRESEL
SEMPATÝK|SEVÝMLÝ, CANAYAKIN
SECURITY|GÜVENLÝK
PRINTER|YAZICI
ELÝMÝNE ETMEK|ELEMEK
ÝZOLASYON|YALITIM
DATA |VERÝ
PREZANTASYON|SUNUM
FINISH|BÝTÝÞ, VARIÞ
DOWNLOAD ETMEK>|ÝNDÝRMEK
MONOTON|TEKDÜZE
KONSENSUS|UZLAÞMA
FULL |TAM, DOLU
EMERGENCY|ACÝL
AMBÝYANS|HAVA, ORTAM
VERSÝYON|SÜRÜM, UYARLAMA
EKSTRA |FAZLADAN
ÝMÝTASYON|TAKLÝT
OPTÝMÝST|ÝYÝMSER
SAVE ETMEK|KAYDETMEK
ADÝSYON |HESAP FÝÞÝ
PRINT OUT|ÇIKTI
ANONS ETMEK|DUYURMAK
BODYGUARD|KORUMA
DOKÜMAN |BELGE
DÝZAYN|TASARIM
ANALÝZ|ÇÖZÜMLEME
ONLINE|ÇEVRÝMÝÇÝ
KRÝTER|ÖLÇÜT
PART-TÝME|YARI ZAMANLI
PESÝMÝST|KARAMSAR
SLAYT|YANSI
EMPOZE ETMEK|DAYATMAK
DRIVER|SÜRÜCÜ
BYE BYE|HOÞÇA KAL
